,creation,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
861,2022-09-11 12:56:49+00:00,Cathy9144,,"Nong Khaem, Bangkok",37,1,575,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
862,2022-09-11 12:53:22+00:00,thesunsets_bts,JK : V #TAEHYUNG #JUNGKOOK,,234,22,2095,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
863,2022-09-11 12:41:48+00:00,Tae1010_20,"최애 :태형💜,  차애 :윤기, 진,지민,정국,남준,호석💜",,32,29,3881,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
864,2022-09-11 12:35:07+00:00,Heidi64022865,,,707,249,221493,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
865,2022-09-11 12:12:19+00:00,lav_yav7,'이해없는 세상에서 나만은 언제라도 네 편임을 잊지 마라',,191,0,312,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
866,2022-09-11 12:07:35+00:00,miky72131997,"그냥 태형이가 좋아서 시작한 덕질
태형이를  보라하는 사람 보라보라 합니다💜💜💜",,180,227,36962,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
867,2022-09-11 12:05:16+00:00,NumemiN,"❥​･김 가족･#BTS･♡･#TXT･♡･#ENHYPEN･
🐻รวมรีวิวการซื้อ #รวมรีวิวNeN_buy 🌟 #รวมรีวิวNeN☁️ #รีวิวซื้อกับ_NeN 🐻∞･∞𓈈 𝙼𝚎 & 𝚞 𓈈･𝚞 & 𝙼𝚎 𓈈²⁰²²⁷¹⁴•아포방포•",♡big hit entertainment,2442,112,12435,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
868,2022-09-11 12:01:23+00:00,Sammy76407207,▫️▫️▫️▫️▫▫️▫️▫️️사소한 걸 중요시 여기고 ▫▫️️️▫️▫️▫️애정과 배려를 당연시하지 않는 사람▫️▫▫️▫▫️▫... 이 모든 게 흔하디흔하지만▫️▫▫▫️▫▫동시에 최고인 것을 아는 사람,,463,155,9049,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
869,2022-09-11 11:56:54+00:00,taekookfanny,"Tharu :) 😊
BTS ARMY 🐋💜️
Taekook Forever 💚💜️
OT 7️⃣
Iᖴ ᗯE ᒪIᐯE ᖴᗩᔕT, ᒪET ᑌᔕ ᗪIE YOᑌᑎG ⚡️",Bangtan Universe 🌠,303,230,384,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
870,2022-09-11 11:51:07+00:00,v49823814,,,73,13,14701,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
871,2022-09-11 11:48:50+00:00,Shin1230V2,"탄이들모두를 사랑합니다만 그중에 태형일 가장 사랑합니다.
멤까 정말싫어합니다. 남들이 태형이에게 같은짓을하면 제 맘이 너무 아프고 그들과 같은 사람이 되기 싫으니까요.",,61,20,253,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
872,2022-09-11 11:45:00+00:00,BornaPrincess2,#BeGood #DoGood #BeKind,In Your Heart,1490,733,130119,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
873,2022-09-11 11:44:56+00:00,vanteisluv,"𝙅𝙖𝙣,15,2020, 02:56. ใครบอกให้ลงครับ",มัมหมีน้องแท,363,26,26323,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
874,2022-09-11 11:44:31+00:00,BangTanBae95z,@BTS_twt V 🐯 SN¹¹⁹,,197,129,47551,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
875,2022-09-11 11:20:32+00:00,Freshpresh___,V is the brand,Thv💜,547,24,7211,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
876,2022-09-11 11:13:19+00:00,biniyoongi_,manusia normal,,146,11,1945,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
877,2022-09-11 10:29:42+00:00,TaeTaeMic1230,AYO! 방탄소년단’s PROOF RIGHT HERE💜,Mikrokosmos,243,207,38132,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
878,2022-09-11 10:25:55+00:00,Cristin02780084,,,986,244,19810,2,"@SamsungSriLanka @tae951230312 Amazing 😍
#GalaxyS22 Ultra 5G #GalaxyxBTS 
Thank You for this articole. https://t.co/7TdrrmOGoe","['GalaxyS22', 'GalaxyxBTS']"
879,2022-09-11 10:20:15+00:00,monfthv95,,,51,1,605,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
880,2022-09-11 10:14:48+00:00,pajikonnn,"ขอให้ต้าวลิซมีความสุข
ขอให้พี่แทมีความสุข❤😊
BP&BTS 😉❤",,174,20,8390,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
881,2022-09-11 10:05:27+00:00,mayou091,,,60,12,9735,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
882,2022-09-11 10:03:23+00:00,2cuteTAE,아포방포 💜,• BTS's GALAXY 🔮✳️💫💜,389,127,63415,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
883,2022-09-11 09:56:54+00:00,mairudiffa,หนูวีพี่กุก/กีวี่,,247,268,753,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
884,2022-09-11 09:54:28+00:00,paradiseinluvmz,💌: always @BTS_twt,only bts ♡ ,421,553,30592,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
885,2022-09-11 09:45:43+00:00,lahwD5EFLjPpgSc,소나무,,21,22,26665,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
886,2022-09-11 09:45:04+00:00,Bangstan821,"always missing @BTS_twt
INTERNATIONAL POPK SENSATION SUNSHINE RAINBOW TRADITIONAL TRANSFER USB HUB SHRIMP BILLBOARD HOT 100#1x6 2xGRAMMY NOMINATED ARTIST!!💜",,468,85,149369,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
887,2022-09-11 09:41:19+00:00,Bellakyukyu18,INDONESIA ARMY💜 || HARTA TAHTA @BTS_twt || Homophobic? go away‼️,Indonesia,3144,3180,64969,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
888,2022-09-11 09:36:15+00:00,VanteTa09683437,"TAEHYUNG 
Sweet night","Dhaka, Bangladesh",917,53,5274,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
889,2022-09-11 09:36:06+00:00,lilithyeahappy,,,5,3,6,0,@samsungID 4 #GalaxyS22 5G in #EpicBora Purple show up in the video @samsungID,"['GalaxyS22', 'EpicBora']"
890,2022-09-11 09:19:57+00:00,KTHVBaddie,In love with 7 boys who crashed into my life and saved it. KNJ KSJ MYG JHS PJM KTH JJK are my Angel Babies for life! Kim Taehyung rules my heart. #Army 💜. #26.,With the 95s as a co-liner,122,12,3917,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
891,2022-09-11 09:17:56+00:00,xogudwhdrnr,Only for V Jungkook 태현이와 정국은 나의 우주 🪐𓈒 *.* 🐰🐻,来世はてひょんさんとじょんぐくさんの飼い犬,113,3,257,36613,#Jungkook setting up his #GalaxyS22 for the perfect show. @BTS_twt #GalaxyxBTS https://t.co/Bp4X8gnOV4,"['Jungkook', 'GalaxyS22', 'GalaxyxBTS']"
892,2022-09-11 09:17:36+00:00,MyNgoc_mn,,,114,137,6150,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
893,2022-09-11 09:16:53+00:00,Dylyn26,Peace and Love✌️,United States,3057,1128,3280,0,Took this pic on my #GalaxyS22 in #Portland. The moon looks reddish orange due to the wildfire smoke. https://t.co/v3efJ0AIbp,"['GalaxyS22', 'Portland']"
894,2022-09-11 09:06:55+00:00,taetesy,"◜뷔 × 정국 —— i tweet and retweet @BTS_twt related, if you don't mind, because i love them (especially 𝘁𝗮𝗲𝗸𝗼𝗼𝗸), periodt。",she – crystɑl  s͟n͟o͟w  ࣪ ׅ ♡ ,2003,1338,92286,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
895,2022-09-11 09:05:24+00:00,kry_rm,𝟵𝟱'태형 · 𝖺𝗅𝗅 𝗅𝗈𝗏𝖾 𝖿𝗈𝗋 𝘃𝗮𝗻𝘁𝗲. 🕊️ 내사람💜 @BTS_twt #아미,7-1 : 00.00 she/her,1527,1544,29349,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
896,2022-09-11 09:05:11+00:00,Vouge_lockdown_,"No pain, No gain","Mannheim, Germany",216,12,402,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
897,2022-09-11 09:04:40+00:00,Tehavi_thv,Kths !!!!!!,,54,13,451,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
898,2022-09-11 09:02:45+00:00,oooo45155614,vote,,56,2,8904,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
899,2022-09-11 09:01:44+00:00,KokoV_TK1230901,"#BTS_V #김태형 #태형 #태태 #뷔 #CGV #정국 #전정국 #BTS #태형아사랑해 #보라해 #꽃보라해🌸Lovely jubbly💜 김태형, 전정국 건들면 물어요. 팔로우 신중하게 해주세요./오타 일상./ 올팬❌ @BTS_TWT @BTS_BIGHIT",[Taetae Bear / La Beauté KV]🌙,1700,398,98611,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
900,2022-09-11 09:01:00+00:00,rigada101,ONLY KTH,,71,6,1472,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
901,2022-09-11 08:58:40+00:00,fmomal17,Others Happiness,,55,15,38528,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
902,2022-09-11 08:58:02+00:00,kkcy_basy_april,"The whole universe, large without endpoint,every little star revolves around u,looking back still only see u,heaven and earth gave birth to such a miracle💜",,791,192,75296,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
903,2022-09-11 08:48:36+00:00,tehiikth_VV,V means Victory ✨,Taehyung's heart,411,46,9550,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
904,2022-09-11 08:45:36+00:00,angadcheema,"it aint how hard u hit, rather how hard u get hit and u move forward!",Mumbai,151,43,348,0,This is so cool. i am out at sea and clicked this on a rolling ship with 40x zoom - Samsung S22 Ultra #GalaxyS22 #Samsung #GalaxyS22Ultra https://t.co/cNH204AqHw,"['GalaxyS22', 'Samsung', 'GalaxyS22Ultra']"
905,2022-09-11 08:42:12+00:00,Daisy_MG_ARMY,"@bts_twt 💜 #BTSARMY

                                                                                 @Msuppasit & @gulfkanawut ☀️🌻
#หวานใจมิวกลัฟ",,1496,184,11524,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
906,2022-09-11 08:38:56+00:00,nucita7,"Q onda!!!!
sígueme en Instagram @ninovestre",granada - españa,384,42,21730,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
907,2022-09-11 08:38:13+00:00,WHITESH61939599,🇰🇷,,106,50,43532,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
908,2022-09-11 08:28:36+00:00,DhnHwdyh,,,3,0,68,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
909,2022-09-11 08:25:38+00:00,momo28742874,💜BTS大好きのテヒョンペンです💜Twitter初心者です、無言フォロー失礼します💜,,69,41,13660,2,"@SamsungSriLanka @tae951230312 Amazing 😍
#GalaxyS22 Ultra 5G #GalaxyxBTS 
Thank You for this articole. https://t.co/7TdrrmOGoe","['GalaxyS22', 'GalaxyxBTS']"
910,2022-09-11 08:25:34+00:00,momo28742874,💜BTS大好きのテヒョンペンです💜Twitter初心者です、無言フォロー失礼します💜,,69,41,13660,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
911,2022-09-11 08:18:31+00:00,thjkdn_,𝓛𝓸𝓿𝓮𝓼𝓥𝓪𝓷𝓽𝓮 ..｡♡*ﾟ¨ﾟﾟ,OT7 🌥️,1097,25,20379,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
912,2022-09-11 08:15:15+00:00,pg_tatamike,ตราบใดยังหายใจฉันก็จะรักผู้ชายคนนี้ ชากียาาา😘 I purple you 💜 รีวิวแจก #น้องป้าแจ๊กแจก @BTS_twt @TXT_members @trainee_a,BANGTAN,1667,315,38768,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
913,2022-09-11 08:15:11+00:00,thesammyfans,"Official Twitter account of SammyFans.

#SamsungUnpacked #Samsung #withGalaxy #OneUI5 #Android13 #GalaxyZFold4 #GalaxyZFlip4",Worldwide,71,3648,13298,0,"Samsung Galaxy S21 One UI 5.0 update, Android 13 release date, Beta and more #Samsung #GalaxyS22 #android13 #oneui5 https://t.co/AmAhXQGxp6","['Samsung', 'GalaxyS22', 'android13', 'oneui5']"
914,2022-09-11 08:06:44+00:00,NireMora,ARMY,TIJUANA MEXICO,106,10,4337,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
915,2022-09-11 08:03:47+00:00,kangsr8,뷔로드,,101,148,1947,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
916,2022-09-11 08:03:24+00:00,Kim_jack27,,,80,1,151,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
917,2022-09-11 07:57:25+00:00,innerrchildv,"ᴡᴇ ᴀʀᴇ ᴛᴏɢᴇᴛʜᴇʀ ʙᴜʟʟᴇᴛᴘʀᴏᴏꜰ, ᴡᴇ ᴀʀᴇ ꜰᴏʀᴇᴠᴇʀ ʙᴜʟʟᴇᴛᴘʀᴏᴏꜰ~ 💜𝐁𝐓𝐒💜 💜𝐀𝐇𝐅𝐎𝐁𝐀𝐍𝐆𝐅𝐎💜",🇵🇰,425,299,27322,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
918,2022-09-11 07:53:18+00:00,Sanren81263662,ONE and ONLY💜 KIM TAEHYUNG（SOLO STAN ！！！DON'T FOLLOW！！！）,,52,0,2593,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
919,2022-09-11 07:51:35+00:00,felicia_f06,💊,,1602,35,5121,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
920,2022-09-11 07:46:20+00:00,shyx2girl,"personal, buying, spazz account 😂","Kanagawa-ken, Japan",310,78,7750,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
921,2022-09-11 07:45:21+00:00,Irene80262528,Check my post's on media section 😘💜💚💜😶‍🌫️🫠,,110,3,3674,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
922,2022-09-11 07:45:08+00:00,sena44703048,,,8,2,15160,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
923,2022-09-11 07:44:53+00:00,Tanvi12051992,Only for KimTaehyung.... V DAY... Stream🎄,,383,112,34235,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
924,2022-09-11 07:44:50+00:00,aime_jry,"𝓶𝔂 𝓮𝓾𝓹𝓱𝓸𝓻𝓲𝓪 @BTS_twt 💜
ғᴏʀ ᴛᴀᴇʜʏᴜɴɢɪᴇ 🍓",Việt Nam,1476,207,31064,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
925,2022-09-11 07:37:02+00:00,LaylaNabila97,BTS,,86,0,664,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
926,2022-09-11 07:30:19+00:00,nobody_twitch,THV💜,,378,457,67582,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
927,2022-09-11 07:29:22+00:00,angel_in_purple,"🕊️

GIFs aren't mine.",,99,110,27782,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
928,2022-09-11 07:28:37+00:00,0v0_pis,🐰🐻よりのALL 同◎ 97(6),魔法の言葉クムシラコ🪄,43,26,1999,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
929,2022-09-11 07:28:03+00:00,Tashmii11,Kim Taehyung is my safe place ♡ |KTH1 is coming|,,1064,328,78568,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
930,2022-09-11 07:25:23+00:00,yayhaya,,Taiwan,47,7,34652,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
931,2022-09-11 07:24:15+00:00,sweetnight_2U,"#BTS
#방탄소년단
#아미💪
#보라해💜
#queenlisa💛❤
#STRAYKIDS
#스트레이키즈
I do believe your galaxy🌌🔮
Shine, dream, smile🙃💫
♥️🧡💛💚💙💜🖤🤍
#OurNewHomeRM",iran 🇮🇷,151,56,5016,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
